148418,Lemna minor,ForestDryPoor
148419,Lemna minor,ForestDryPoor
148420,Lemna minor,ForestDryPoor
148421,Lemna minor,ForestDryPoor
148422,Lemna minor,ForestDryPoor
148423,Lemna minor,ForestDryPoor
148424,Lemna minor,ForestDryPoor
148425,Lemna minor,ForestDryPoor
148426,Lemna minor,ForestDryPoor
148427,Lemna minor,ForestDryPoor
148428,Lemna minor,ForestDryPoor
148429,Lemna minor,ForestDryPoor
149009,Lemna minor,ForestDryPoor
149010,Lemna minor,ForestDryPoor
149011,Lemna minor,ForestDryPoor
149012,Lemna minor,ForestDryPoor
149013,Lemna minor,ForestDryPoor
149014,Lemna minor,ForestDryPoor
149015,Lemna minor,ForestDryPoor
149016,Lemna minor,ForestDryPoor
149017,Lemna minor,ForestDryPoor
149018,Lemna minor,ForestDryPoor
149019,Lemna minor,ForestDryPoor
149020,Lemna minor,ForestDryPoor
149021,Lemna minor,ForestDryPoor
149022,Lemna minor,ForestDryPoor
149023,Lemna minor,ForestDryPoor
149024,Lemna minor,ForestDryPoor
149025,Lemna minor,ForestDryPoor
149026,Lemna minor,ForestDryPoor
149027,Lemna minor,ForestDryPoor
149028,Lemna minor,ForestDryPoor
149608,Lemna minor,ForestDryPoor
149609,Lemna minor,ForestDryPoor
149610,Lemna minor,ForestDryPoor
149611,Lemna minor,ForestDryPoor
149612,Lemna minor,ForestDryPoor
149613,Lemna minor,ForestDryPoor
149614,Lemna minor,ForestDryPoor
149615,Lemna minor,ForestDryPoor
149616,Lemna minor,ForestDryPoor
149617,Lemna minor,ForestDryPoor
149618,Lemna minor,ForestDryPoor
149619,Lemna minor,ForestDryPoor
149620,Lemna minor,ForestDryPoor
149621,Lemna minor,ForestDryPoor
149622,Lemna minor,ForestDryPoor
149623,Lemna minor,ForestDryPoor
149624,Lemna minor,ForestDryPoor
149625,Lemna minor,ForestDryPoor
149626,Lemna minor,ForestDryPoor
149627,Lemna minor,ForestDryPoor
150207,Lemna minor,ForestDryPoor
150208,Lemna minor,ForestDryPoor
150209,Lemna minor,ForestDryPoor
150210,Lemna minor,ForestDryPoor
150211,Lemna minor,ForestDryPoor
150212,Lemna minor,ForestDryPoor
150213,Lemna minor,ForestDryPoor
150214,Lemna minor,ForestDryPoor
150215,Lemna minor,ForestDryPoor
150216,Lemna minor,ForestDryPoor
150217,Lemna minor,ForestDryPoor
150218,Lemna minor,ForestDryPoor
150219,Lemna minor,ForestDryPoor
150220,Lemna minor,ForestDryPoor
150221,Lemna minor,ForestDryPoor
150222,Lemna minor,ForestDryPoor
150223,Lemna minor,ForestDryPoor
150224,Lemna minor,ForestDryPoor
150225,Lemna minor,ForestDryPoor
150226,Lemna minor,ForestDryPoor
150806,Lemna minor,ForestDryPoor
150807,Lemna minor,ForestDryPoor
150808,Lemna minor,ForestDryPoor
150809,Lemna minor,ForestDryPoor
150810,Lemna minor,ForestDryPoor
150811,Lemna minor,ForestDryPoor
150812,Lemna minor,ForestDryPoor
150813,Lemna minor,ForestDryPoor
150814,Lemna minor,ForestDryPoor
150815,Lemna minor,ForestDryPoor
150816,Lemna minor,ForestDryPoor
150817,Lemna minor,ForestDryPoor
150818,Lemna minor,ForestDryPoor
150819,Lemna minor,ForestDryPoor
150820,Lemna minor,ForestDryPoor
150821,Lemna minor,ForestDryPoor
150822,Lemna minor,ForestDryPoor
150823,Lemna minor,ForestDryPoor
150824,Lemna minor,ForestDryPoor
150825,Lemna minor,ForestDryPoor
150846,Lemna minor,ForestDryPoor
151405,Lemna minor,ForestDryPoor
151406,Lemna minor,ForestDryPoor
151407,Lemna minor,ForestDryPoor
151408,Lemna minor,ForestDryPoor
151409,Lemna minor,ForestDryPoor
151410,Lemna minor,ForestDryPoor
151411,Lemna minor,ForestDryPoor
151412,Lemna minor,ForestDryPoor
151413,Lemna minor,ForestDryPoor
151414,Lemna minor,ForestDryPoor
151415,Lemna minor,ForestDryPoor
151416,Lemna minor,ForestDryPoor
151417,Lemna minor,ForestDryPoor
151418,Lemna minor,ForestDryPoor
151419,Lemna minor,ForestDryPoor
151420,Lemna minor,ForestDryPoor
151421,Lemna minor,ForestDryPoor
151422,Lemna minor,ForestDryPoor
151423,Lemna minor,ForestDryPoor
151424,Lemna minor,ForestDryPoor
151445,Lemna minor,ForestDryPoor
151446,Lemna minor,ForestDryPoor
152004,Lemna minor,ForestDryPoor
152005,Lemna minor,ForestDryPoor
152006,Lemna minor,ForestDryPoor
152007,Lemna minor,ForestDryPoor
152008,Lemna minor,ForestDryPoor
152009,Lemna minor,ForestDryPoor
152010,Lemna minor,ForestDryPoor
152011,Lemna minor,ForestDryPoor
152012,Lemna minor,ForestDryPoor
152013,Lemna minor,ForestDryPoor
152014,Lemna minor,ForestDryPoor
